la,0-4,5-9,10-19,20-49,50-99,100-249,250+,,,,,,,,,,
E08000012,10234,905,557,380,124,85,96,,E08000012,10265,1600,875,465,170,95,70,13540
E08000013,3452,277,179,120,43,18,56,,E08000013,3450,575,285,200,55,35,15,4615
E08000014,5895,506,320,225,89,36,60,,E08000014,6075,935,470,245,60,40,20,7845
E08000015,6536,595,343,240,84,56,64,,E08000015,6695,1055,530,280,75,55,20,8710
E08000016,4083,413,257,148,77,36,51,,E08000016,4865,750,390,240,60,35,25,6365
E08000017,6461,592,336,250,82,47,79,,E08000017,7500,1030,475,290,90,55,35,9475
E08000018,5311,464,338,211,67,46,74,,E08000018,5510,830,430,260,115,60,25,7230
E08000019,12468,1222,733,508,172,124,161,,E08000019,11745,2010,1115,640,215,115,65,15905
E08000021,6809,593,399,218,100,54,74,,E08000021,5545,1170,610,350,105,80,65,7925
E08000022,4316,383,217,135,43,35,40,,E08000022,3795,650,325,175,55,30,30,5060
E08000023,2877,263,168,106,39,12,42,,E08000023,2540,455,185,105,40,25,15,3365
E08000024,4466,420,232,162,50,36,53,,E08000024,4105,890,445,235,65,45,35,5820
E08000025,29990,2983,1838,1274,411,251,375,,E08000025,27755,5340,2250,1035,375,210,150,37115
E08000026,8558,757,452,303,123,51,77,,E08000026,8070,940,565,295,90,50,55,10065
E08000027,7068,666,424,211,60,58,112,,E08000027,7170,1245,665,340,85,65,25,9595
E08000028,7158,697,461,281,86,67,88,,E08000028,6490,1090,580,365,125,65,40,8755
E08000029,6839,588,352,205,71,47,47,,E08000029,6660,765,395,215,90,50,40,8215
E08000030,6052,586,358,271,91,46,79,,E08000030,5755,930,495,295,95,50,40,7660
E08000031,6174,637,403,263,86,44,70,,E08000031,5785,855,470,275,90,50,35,7560
E08000032,12563,1122,800,477,149,96,161,,E08000032,11950,1875,950,545,175,110,60,15665
E08000033,5847,550,334,218,67,35,81,,E08000033,6170,975,525,255,95,60,20,8100
E08000034,11380,1031,642,415,141,91,114,,E08000034,11180,1875,940,500,160,75,50,14780
E08000035,21883,1950,1197,770,315,149,221,,E08000035,21760,3085,1745,955,350,180,150,28225
E08000036,6844,631,438,235,84,42,82,,E08000036,7240,1140,585,335,120,70,50,9540
E08000037,4102,390,235,161,32,39,56,,E08000037,3545,725,415,245,85,40,30,5085
E09000001,5836,449,287,158,67,50,70,,E09000001,18260,2460,1775,975,430,275,245,24420
E09000002,8460,870,561,350,91,77,78,,E09000002,5810,525,255,120,40,25,10,6785
E09000003,18421,1558,897,610,182,127,149,,E09000003,19740,1915,835,350,125,70,30,23065
E09000004,7895,694,450,257,99,65,81,,E09000004,7410,740,375,200,75,40,20,8860
E09000005,14669,1309,774,452,177,106,125,,E09000005,12410,1400,635,280,95,65,50,14935
E09000006,12597,1055,613,336,123,56,98,,E09000006,12720,1305,560,325,115,55,35,15115
E09000007,14832,1212,676,438,158,112,154,,E09000007,22860,3085,1665,1010,370,255,195,29440
E09000008,14795,1328,809,543,155,112,151,,E09000008,12505,1255,600,265,110,55,35,14825
E09000009,16043,1407,877,560,155,112,140,,E09000009,14945,1585,760,360,130,65,40,17885
E09000010,11536,1044,676,386,121,71,85,,E09000010,10785,1215,540,270,95,40,20,12965
E09000011,10869,972,583,392,120,67,95,,E09000011,8705,640,350,160,50,30,20,9955
E09000012,13161,1127,638,404,120,75,117,,E09000012,15715,1630,940,475,135,65,35,18995
E09000013,10103,823,498,322,113,61,81,,E09000013,10305,1160,650,335,165,80,60,12755
E09000014,11243,1038,649,379,105,74,93,,E09000014,10405,1005,445,210,45,30,10,12150
E09000015,13109,1181,656,450,128,79,88,,E09000015,12280,1075,480,220,75,40,25,14195
E09000016,7475,698,407,280,93,57,60,,E09000016,8070,950,435,190,80,50,20,9795
E09000017,11683,1055,546,436,140,72,85,,E09000017,10770,1160,550,340,155,100,85,13160
E09000018,12472,1051,659,378,114,78,84,,E09000018,11115,1120,560,265,120,75,70,13325
E09000019,11986,968,586,380,118,61,152,,E09000019,14480,1855,1100,625,200,125,100,18485
