Companies House,2,4,10,10+,,ONS,,,,,total,,,,,,
E06000057,2072,1389,2280,2170,,E06000057,1240,975,2390,5260,9865,,3.99409708958821,3.3163897510732,3.14270224573762,3.35793484700045,3.33645973384853
E07000004,2450,1541,2754,2924,,E07000004,1215,1020,2250,3870,8355,,3.92194645422941,3.38916608436453,3.18780263871842,3.4399639359209,3.46597736828582
E07000005,1597,1129,1847,2209,,E07000005,815,705,1455,2385,5360,,3.72916478969277,3.20330491613848,3.05269394192497,3.26646689544024,3.34419571587143
E07000006,1719,1149,1950,2463,,E07000006,745,645,1335,1880,4605,,3.66322963453287,3.23527587668705,3.06032002868828,3.29003461136252,3.3914644118391
E07000007,2759,1790,3437,4099,,E07000007,1320,1060,2180,3735,8295,,3.91881639036038,3.44075170047918,3.25285303097989,3.53617953213723,3.6126779183165
E07000008,1607,919,1748,2173,,E07000008,715,555,1075,1890,4235,,3.62685341466672,3.20601587676334,2.96331551138611,3.24254142829838,3.33705972632052
E07000009,828,535,1016,1078,,E07000009,480,395,915,1915,3705,,3.56878821231535,2.91803033678488,2.72835378202123,3.0068937079479,3.03261876085072
E07000010,655,407,775,793,,E07000010,410,340,780,1595,3125,,3.49485002168009,2.81624129999178,2.60959440922522,2.88930170250631,2.8992731873176
E07000011,2193,1255,2302,2285,,E07000011,1015,785,1795,3170,6765,,3.83026780093364,3.34103863167752,3.09864372581706,3.36210531929377,3.35888620440587
E07000012,1956,1247,2330,2482,,E07000012,1095,780,1730,3460,7065,,3.84911216618458,3.29136885045158,3.09586645347854,3.36735592102602,3.39480177716271
E07000026,733,544,1006,933,,E07000026,460,325,1015,2270,4070,,3.60959440922522,2.86510397464113,2.73559889969818,3.00259798071991,2.9698816437465
E07000027,596,336,609,482,,E07000027,315,200,550,635,1700,,3.23044892137827,2.77524625974024,2.52633927738984,2.78461729263288,2.68304703823885
E07000028,824,549,1089,1120,,E07000028,470,345,970,2185,3970,,3.59879050676311,2.91592721169712,2.73957234445009,3.03702787975577,3.04921802267018
E07000029,420,224,539,363,,E07000029,415,240,615,1045,2315,,3.36455099535397,2.6232492903979,2.35024801833416,2.73158876518674,2.55990662503611
E07000030,324,266,628,705,,E07000030,230,220,635,2360,3445,,3.53718922624364,2.51054501020661,2.42488163663107,2.7979596437372,2.8481891169914
E07000031,871,615,1421,1841,,E07000031,590,485,1460,3345,5880,,3.76937732607614,2.94001815500766,2.78887511577542,3.15259407792747,3.26505378850401
