CompanyNumber,Date,OldPostcode,NewPostcode,OldLocalAuthority,NewLocalAuthority,RegisteredStaff,IncorperationDate,NFiles
02350716,2003-06-10,ST13 5JL,ST13 8RG,E07000198,E07000198,4,1989-02-22,43
06852840,2012-09-21,SO23 7TA,SO50 9DR,E07000094,E07000086,3,2009-03-19,23
03068920,2012-04-02,NW1 5QT,TW1 2PF,E09000033,E09000027,1,1995-06-16,47
09885567,2016-02-12,BH13 6DY,SO21 3DN,E06000029,E07000094,1,2015-11-24,3
09885567,2016-09-23,SO21 3DN,SO14 6RG,E07000094,E06000045,1,2015-11-24,4
09885567,2016-09-26,SO14 6RG,SO14 6RG,E06000045,E06000045,1,2015-11-24,5
03775503,1999-05-26,CF14 3LX,SL0 0NH,W06000015,E07000006,1,1999-05-21,2
03775503,2006-01-19,SL0 0NH,SL9 8EL,E07000006,E07000006,4,1999-05-21,30
03775503,2009-07-08,SL9 8EL,SL0 0NH,E07000006,E07000006,3,1999-05-21,39
07770906,2011-12-13,SE17 3QA,KT6 7EL,E09000028,E09000021,1,2011-09-12,2
07770906,2012-10-31,KT6 7EL,KT9 2ES,E09000021,E09000021,1,2011-09-12,4
07770906,2013-10-28,KT9 2ES,CR0 0XZ,E09000021,E09000008,1,2011-09-12,7
07770906,2014-03-13,CR0 0XZ,PE6 8ED,E09000008,E07000141,1,2011-09-12,9
10487988,2018-02-26,DN1 2HD,S9 5DF,E08000017,E08000019,1,2016-11-21,9
05283519,2006-11-28,PR9 9LL,BT3 9JP,E08000014,N09000003,1,2004-11-10,5
05283519,2008-10-29,BT3 9JP,PR6 8DN,N09000003,E07000118,1,2004-11-10,9
05283519,2017-02-23,PR6 8DN,OL10 3DD,E07000118,E08000005,1,2004-11-10,36
05283519,2017-03-29,OL10 3DD,OL10 3DD,E08000005,E08000005,1,2004-11-10,37
SC492075,2016-07-12,EH3 7BJ,EH1 2JY,S12000036,S12000036,1,2014-11-26,8
SC492075,2017-12-01,EH1 2JY,EH26 8PH,S12000036,S12000019,2,2014-11-26,20
02102784,1987-04-22,N1 6EE,M4 1LE,E09000012,E08000003,1,1987-02-24,5
11276467,2018-05-17,ME14 5UX,SG14 1AB,E07000110,E07000242,1,2018-03-26,2
02520450,2000-05-30,W1N 6BL,W1N 7RJ,E09000033,E09000033,2,1990-07-10,32
02520450,2003-03-04,W1N 7RJ,ME16 8RY,E09000033,E07000110,2,1990-07-10,41
02520450,2007-10-09,ME16 8RY,BL1 4DH,E07000110,E08000001,2,1990-07-10,55
02520450,2010-08-19,BL1 4DH,BL1 3AA,E08000001,E08000001,2,1990-07-10,61
02520450,2014-02-07,BL1 3AA,BL1 4BY,E08000001,E08000001,2,1990-07-10,73
10775999,2018-06-04,CO2 7LT,CO7 6JS,E07000071,E07000200,1,2017-05-17,5
08091090,2013-07-05,SW11 5QL,SE11 4RE,E09000032,E09000022,1,2012-05-31,5
04048592,2000-09-19,CF10 2DX,L3 6JH,W06000015,E08000012,4,2000-08-07,5
04048592,2007-09-06,L3 6JH,CH62 7ES,E08000012,E08000015,3,2000-08-07,45
04048592,2007-10-29,CH62 7ES,CH60 8NB,E08000015,E08000015,3,2000-08-07,47
04048592,2016-01-22,CH60 8NB,B3 1UP,E08000015,E08000025,3,2000-08-07,82
04048592,2017-10-11,B3 1UP,CH41 3SB,E08000025,E08000015,3,2000-08-07,92
04048592,2018-03-23,CH41 3SB,M2 1EW,E08000015,E08000003,3,2000-08-07,94
09531320,2017-08-30,EX39 2XX,EX39 4DF,E07000046,E07000046,1,2015-04-08,8
05970583,2013-12-27,EC4A 1QL,SE1 2FB,E09000001,E09000028,2,2006-10-18,22
05970583,2016-07-11,SE1 2FB,SE21 8LW,E09000028,E09000022,2,2006-10-18,27
08319338,2016-08-26,NN1 5AW,TW17 8AS,E07000154,E07000213,1,2012-12-05,8
07670063,2012-01-11,SE1 0JF,EC2A 4HJ,E09000028,E09000012,1,2011-06-15,2
07670063,2013-07-16,EC2A 4HJ,EC1V 7ET,E09000012,E09000019,1,2011-06-15,5
04675156,2003-05-06,SN5 7UN,SN6 6HE,E06000030,E06000054,4,2003-02-21,6
04675156,2008-03-06,SN6 6HE,SN6 6RA,E06000054,E06000054,4,2003-02-21,21
06381630,2008-05-19,BN6 9EL,OX14 3QH,E07000228,E07000180,3,2007-09-25,4
06381630,2012-03-15,OX14 3QH,OX14 3PX,E07000180,E07000180,2,2007-09-25,18
00754010,1993-10-05,SA18 1LL,SA18 3SJ,W06000010,W06000010,1,1986-07-08,22
08922422,2014-04-08,DE24 8HG,DE55 5HT,E06000015,E07000033,1,2014-03-04,2
09587788,2016-05-26,PO20 7PX,PO20 7PX,E07000225,E07000225,1,2015-05-13,2
09587788,2017-08-29,PO20 7PX,RH20 1BL,E07000225,E07000227,1,2015-05-13,7
09080392,2014-11-23,SW6 3JH,SW15 2BF,E09000013,E09000032,1,2014-06-10,2
10304949,2016-08-22,N14 7EL,N14 7DU,E09000010,E09000010,1,2016-08-01,2
05476929,2005-06-22,CF10 2DX,BS8 1HL,W06000015,E06000023,3,2005-06-09,6
08747451,2014-09-03,NP10 8RR,NP7 5AA,W06000022,W06000021,1,2013-10-24,5
08747451,2015-11-01,NP7 5AA,NP7 5AA,W06000021,W06000021,1,2013-10-24,10
08747451,2016-07-07,NP7 5AA,NP7 5PN,W06000021,W06000021,1,2013-10-24,13
05725483,2007-05-30,BL5 3YE,BL1 3AA,E08000001,E08000001,3,2006-03-01,9
09368599,2016-05-18,B2 4BG,BB18 5UT,E08000025,E07000122,1,2014-12-29,6
05135379,2004-08-19,W1G 9QR,W1G 9QR,E09000033,E09000033,1,2004-05-24,2
05135379,2004-12-02,W1G 9QR,NW3 5NR,E09000033,E09000007,2,2004-05-24,8
05135379,2010-09-01,NW3 5NR,NW7 2RB,E09000007,E09000003,3,2004-05-24,32
05135379,2015-06-26,NW7 2RB,W1G 8DH,E09000003,E09000033,3,2004-05-24,45
08212790,2013-03-24,E14 9UP,E14 3AJ,E09000030,E09000030,1,2012-09-13,2
01893973,1987-02-13,OL4 1HW,NW9 8UU,E08000004,E09000005,2,1986-06-17,10
01893973,1988-12-01,NW9 8UU,HP7 0DE,E09000005,E07000005,2,1986-06-17,18
04519316,2002-09-02,BS8 2XN,CM15 9QG,E06000023,E07000068,1,2002-08-27,5
04519316,2002-09-02,CM15 9QG,WF8 3HQ,E07000068,E08000036,1,2002-08-27,5
02407496,1994-08-23,BS1 1LG,BS8 3NG,E06000023,E06000023,7,1989-07-24,23
02407496,1995-12-07,BS8 3NG,SP2 7LD,E06000023,E06000054,7,1989-07-24,36
09975352,2016-07-29,L3 4EW,L3 4BJ,E08000012,E08000012,1,2016-01-28,4
10889196,2018-06-05,TN2 4JJ,RM20 4AR,E07000116,E06000034,1,2017-07-28,4
05972813,2010-01-19,NW2 7AX,SE1 7TL,E09000005,E09000022,1,2006-10-20,6
05972813,2011-07-06,SE1 7TL,SW11 3BY,E09000022,E09000032,1,2006-10-20,13
05972813,2013-05-20,SW11 3BY,WA13 0QG,E09000032,E06000007,1,2006-10-20,19
05972813,2015-07-10,WA13 0QG,WA13 0QG,E06000007,E06000007,1,2006-10-20,37
05972813,2016-08-23,WA13 0QG,M1 2JQ,E06000007,E08000003,1,2006-10-20,42
01216927,1991-11-20,EC2M 5SQ,TW10 6AA,E09000001,E09000027,1,1986-06-06,8
07827222,2012-08-15,GU24 8AF,SA33 6DT,E07000214,W06000010,1,2011-10-28,3
04082223,2000-11-23,M7 4AS,CV35 9AN,E08000006,E07000221,3,2000-10-02,4
04082223,2000-11-29,CV35 9AN,NP26 5PR,E07000221,W06000021,1,2000-10-02,7
04082223,2009-08-14,NP26 5PR,NP26 5PW,W06000021,W06000021,1,2000-10-02,33
04082223,2013-12-16,NP26 5PW,NP26 5YG,W06000021,W06000021,1,2000-10-02,44
09046788,2016-07-21,N14 5BP,CR8 2AD,E09000010,E09000008,1,2014-05-19,7
08263903,2016-08-10,DN22 9HP,DN22 0LG,E07000171,E07000171,1,2012-10-23,8
03290623,1997-03-27,EC2V 6AD,RG1 1JG,E09000001,E06000038,3,1996-12-11,13
03290623,2002-08-23,RG1 1JG,BA12 7BZ,E06000038,E06000054,2,1996-12-11,42
08903907,2015-04-13,HG1 2SE,M3 7DB,E07000165,E08000006,1,2014-02-20,8
08903907,2016-05-20,M3 7DB,M3 7BB,E08000006,E08000006,1,2014-02-20,9
07092084,2011-09-22,SE1 2TU,SE24 9DA,E09000028,E09000028,1,2009-12-01,7
07092084,2016-10-11,SE24 9DA,SE19 1TX,E09000028,E09000022,1,2009-12-01,18
05758365,2007-10-19,YO24 1GR,YO1 8NQ,E06000014,E06000014,1,2006-03-27,4
05758365,2010-04-06,YO1 8NQ,LS25 6NW,E06000014,E07000169,2,2006-03-27,15
09273483,2014-12-18,BN3 6HA,TN38 8ED,E06000043,E07000064,1,2014-10-21,3
05072537,2004-04-01,WV5 9DH,WS12 4SA,E07000196,E07000192,4,2004-03-12,7
09678873,2016-02-29,HA2 7SA,TW3 2PN,E09000015,E09000018,1,2015-07-09,2
09678873,2016-11-03,TW3 2PN,N17 6AN,E09000018,E09000014,1,2015-07-09,4
01387731,1991-09-10,HA4 8LA,NW11 8NA,E09000017,E09000003,1,1991-03-25,12
01387731,1992-12-15,NW11 8NA,RG12 1QS,E09000003,E06000036,1,1991-03-25,17
01387731,2009-08-03,RG12 1QS,HP13 5HX,E06000036,E07000007,2,1991-03-25,56
05223063,2004-09-08,LS1 2DS,LS1 2JT,E08000035,E08000035,4,2004-09-06,7
05223063,2006-06-26,LS1 2JT,LS1 2JT,E08000035,E08000035,3,2004-09-06,13
05223063,2011-04-19,LS1 2JT,LS1 2JT,E08000035,E08000035,3,2004-09-06,29
06227720,2009-11-03,SO50 9FJ,PO15 7PA,E07000086,E07000094,5,2007-04-26,18
08210437,2014-02-13,CF10 4RU,CF24 3JW,W06000015,W06000015,1,2012-09-11,3
06264938,2009-01-07,PR1 4HT,PR26 6PL,E07000123,E07000126,3,2007-05-31,11
