la,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
E09000026,5,2,1,,,3,1,3,4,34,6,,21,50,7,5,6,21,2,3,3,3,4,3,8,4,4,3,4,4,12,45,66,,16,3,,22,5,,584,85,691,,199,377,747,,249,9,13,47,38,,63,401,,55,125,10,60,1489,132,113,15,55,,819,430,617,141,16,98,417,4,,48,123,76,89,108,720,,10,323,769,58,159,,108,5,4,73,45,31,738,5,147,
E06000046,29,4,1,,,1,,2,3,5,6,,,5,1,3,1,5,,2,1,5,4,,26,11,8,6,14,44,2,24,36,,8,1,2,7,,,114,14,136,,44,38,129,,28,11,2,15,1,,69,118,,20,20,2,10,129,16,26,7,7,,174,34,120,62,8,12,118,11,,9,11,24,11,42,106,,1,72,59,15,19,,31,14,1,72,17,2,84,2,119,
S12000015,86,7,8,,,18,,8,26,25,16,,8,9,2,14,4,13,1,4,,15,9,5,70,22,11,21,3,6,13,64,94,,15,6,2,17,4,,174,61,447,,115,110,305,,85,9,4,24,12,,59,225,,29,20,3,27,358,33,50,4,39,,232,66,333,285,21,15,286,9,,24,39,35,8,58,342,,6,78,113,17,40,,48,9,3,107,28,6,218,,5,
E06000049,123,26,6,,,,,6,7,57,20,,23,35,5,17,21,39,,11,3,20,7,5,64,31,13,60,11,22,29,92,122,,22,4,4,29,9,,337,59,607,,251,367,675,,283,6,22,52,23,,50,332,,76,91,9,55,912,80,207,18,74,,649,237,1096,286,49,113,702,35,,50,135,41,47,152,687,,15,246,388,26,71,,81,11,13,177,40,25,448,6,182,
E08000024,6,6,1,,,4,,1,9,12,4,1,13,6,1,9,4,27,,2,3,9,5,3,69,11,17,19,6,2,12,46,81,,15,4,,10,2,,109,40,355,,103,96,262,,87,1,3,14,12,,18,232,,25,27,2,33,171,28,38,6,26,1,157,56,156,114,6,11,163,2,,12,30,9,23,36,210,,5,134,191,17,44,,29,9,4,87,25,10,188,1,34,
E07000114,18,1,1,,,2,,,,8,4,,4,4,1,2,1,9,,3,1,7,1,,14,7,3,2,1,3,12,16,21,,10,1,1,3,,,88,42,166,,55,35,143,,39,5,1,19,10,,20,108,,18,44,4,10,106,17,19,6,14,,119,27,79,33,5,16,96,,,5,17,7,3,31,147,,3,69,104,10,25,,54,2,3,31,15,2,89,,139,
E09000018,8,,4,,,7,2,1,9,35,4,,10,35,4,6,3,26,,3,2,6,4,1,15,15,16,15,4,5,22,31,56,,12,4,2,14,,1,428,46,497,,145,378,682,,333,10,35,81,69,,47,346,,62,223,22,79,1496,113,121,14,36,,490,245,591,135,21,88,380,2,,34,102,88,43,86,646,,15,232,587,39,75,,99,5,2,102,43,21,565,8,210,
E06000023,25,5,5,,,2,1,,3,47,14,1,11,37,4,21,7,51,1,9,1,23,10,8,58,18,11,27,8,19,37,101,78,,29,7,2,28,6,,327,69,690,,282,283,646,,375,9,18,52,29,,129,601,,124,311,18,42,989,102,154,22,78,,728,205,657,289,51,126,648,14,,47,161,39,45,148,622,,12,302,597,44,91,,261,7,8,174,91,21,358,7,1108,
W06000003,20,12,2,,,2,,2,5,8,6,,3,1,,3,2,3,1,2,2,5,5,,8,3,4,4,3,5,1,17,29,,12,2,,8,,,61,19,107,,46,37,141,,29,3,3,6,1,,80,74,,13,20,2,8,94,13,20,2,13,,117,32,74,31,6,6,105,6,,10,9,7,13,20,91,,1,39,52,16,18,,26,4,4,88,21,5,66,,57,
E06000011,268,10,22,,,6,,10,7,41,18,1,5,7,3,37,8,25,1,7,7,9,4,1,57,8,10,29,17,26,33,66,125,1,38,5,4,22,7,,281,75,616,,203,229,462,,230,14,9,48,9,,87,275,,39,44,8,39,327,32,118,13,35,,384,111,455,197,16,43,380,5,,47,50,29,18,56,301,,6,164,251,32,66,,59,12,6,115,21,14,237,3,74,
E07000125,3,,,,1,,,3,3,10,6,,17,5,6,4,3,8,,6,1,10,1,2,37,5,4,16,2,1,10,18,28,,4,,,11,,,53,10,140,,56,69,114,,50,1,2,23,9,,7,55,,7,17,2,14,73,10,24,2,11,,67,32,85,46,4,9,81,6,,10,9,4,7,14,120,,3,45,59,13,20,,18,1,1,37,7,1,52,1,10,
E07000215,14,9,1,,,6,1,,3,6,4,,7,9,1,1,2,10,,4,3,3,4,2,7,10,5,7,1,1,7,21,18,,5,1,,7,2,,126,21,227,,39,66,145,,28,2,11,14,4,,17,65,,30,36,2,27,280,37,44,12,35,,203,67,268,60,12,34,170,8,,21,39,14,19,32,155,,3,62,84,18,11,,29,4,3,59,20,4,109,1,140,
E07000076,34,4,7,,,2,,1,1,10,,,3,1,,7,2,14,,,1,6,4,1,26,3,6,12,8,7,14,25,32,,4,,,7,2,,105,34,224,,68,45,142,,66,8,4,28,8,,26,101,,20,17,3,9,125,11,19,2,12,,132,31,70,38,2,13,101,2,,12,13,4,14,45,113,,5,64,86,23,26,,15,3,3,43,13,5,86,4,46,
E06000034,5,3,1,,,2,,,2,15,3,,5,12,1,4,1,10,1,3,1,1,3,1,16,5,3,5,4,1,3,18,39,,9,3,1,9,3,,166,64,376,,107,101,173,,381,10,5,77,23,,11,112,,6,27,2,23,372,38,40,5,18,,123,80,204,39,6,14,120,2,,18,56,17,39,43,269,,6,103,395,32,110,,33,1,1,38,38,12,205,5,26,
S12000041,96,8,13,,,14,,3,89,7,5,,4,1,,6,1,5,,4,,5,3,4,20,2,,2,2,3,3,18,34,,15,,,5,1,,86,22,164,,49,38,130,,32,2,2,12,2,,36,70,,4,7,2,6,72,9,15,,5,,101,19,101,103,5,3,169,2,,7,10,7,7,21,166,,5,25,35,2,9,,15,3,1,32,4,2,112,,5,
E07000181,55,7,2,,,,,1,2,14,8,1,4,7,1,6,1,12,,8,2,4,8,1,16,14,6,9,8,4,10,30,25,,7,,1,8,3,,136,13,194,,74,91,161,,38,,7,15,4,,28,85,,36,49,3,22,230,26,40,6,8,,158,66,269,72,22,24,198,5,,17,16,14,7,44,138,,4,74,85,13,21,,50,8,2,51,17,8,92,1,80,
E06000045,6,4,3,,,1,,2,2,14,2,,6,10,1,10,1,18,1,2,1,8,1,4,27,11,6,13,6,20,10,35,70,,14,4,2,13,1,,161,34,438,,125,108,272,,219,19,4,24,27,,32,216,,22,40,4,26,291,34,60,6,21,,184,81,172,76,20,27,213,3,,17,59,11,24,54,220,,6,107,313,38,55,,48,1,3,74,32,10,196,3,134,
E07000228,27,6,2,,,1,,1,5,14,5,,3,11,1,6,3,13,,2,1,4,1,1,23,13,13,13,8,,9,36,37,,11,1,2,6,2,,133,27,247,,75,109,237,,39,7,19,28,7,,15,118,,61,53,4,14,402,43,72,12,45,,190,97,372,74,11,44,239,12,,10,58,24,12,64,254,,2,107,169,20,22,,52,2,1,78,32,8,148,1,120,
